 [workclass/State-gov]: prec=0.8065, recall=0.5666, fbeta=0.6656
 [race/Amer-Indian-Eskimo]: prec=0.9167, recall=0.3056, fbeta=0.4583
 [race/Other]: prec=0.7333, recall=0.4400, fbeta=0.5500
 [sex/Male]: prec=0.8338, recall=0.4521, fbeta=0.5863
 [sex/Female]: prec=0.9442, recall=0.2154, fbeta=0.3508
 [native-country/United-States]: prec=0.8494, recall=0.4107, fbeta=0.5536
 [native-country/Cuba]: prec=0.9167, recall=0.4400, fbeta=0.5946
 [native-country/Jamaica]: prec=0.6667, recall=0.2000, fbeta=0.3077
 [native-country/India]: prec=0.6744, recall=0.7250, fbeta=0.6988
 [native-country/?]: prec=0.8037, recall=0.5890, fbeta=0.6798
 [native-country/Mexico]: prec=1.0000, recall=0.2727, fbeta=0.4286
 [native-country/South]: prec=0.5000, recall=0.5000, fbeta=0.5000
 [native-country/Puerto-Rico]: prec=0.8571, recall=0.5000, fbeta=0.6316
 [native-country/Honduras]: prec=1.0000, recall=1.0000, fbeta=1.0000
 [native-country/England]: prec=0.8235, recall=0.4667, fbeta=0.5957
 [native-country/Canada]: prec=0.7500, recall=0.3846, fbeta=0.5085
 [native-country/Germany]: prec=0.8421, recall=0.3636, fbeta=0.5079
 [native-country/Iran]: prec=0.6875, recall=0.6111, fbeta=0.6471
 [native-country/Philippines]: prec=0.8929, recall=0.4098, fbeta=0.5618
 [native-country/Italy]: prec=0.9091, recall=0.4000, fbeta=0.5556
 [native-country/Poland]: prec=0.5714, recall=0.3333, fbeta=0.4211
 [native-country/Columbia]: prec=0.5000, recall=0.5000, fbeta=0.5000
 [native-country/Cambodia]: prec=1.0000, recall=0.1429, fbeta=0.2500
 [native-country/Thailand]: prec=1.0000, recall=0.3333, fbeta=0.5000
 [native-country/Ecuador]: prec=0.5000, recall=0.5000, fbeta=0.5000
 [native-country/Laos]: prec=1.0000, recall=0.0000, fbeta=0.0000
 [native-country/Taiwan]: prec=0.8333, recall=0.7500, fbeta=0.7895
 [native-country/Haiti]: prec=0.0000, recall=0.0000, fbeta=1.0000
 [native-country/Portugal]: prec=1.0000, recall=0.2500, fbeta=0.4000
 [native-country/Dominican-Republic]: prec=1.0000, recall=0.0000, fbeta=0.0000
 [native-country/El-Salvador]: prec=1.0000, recall=0.6667, fbeta=0.8000
 [native-country/France]: prec=0.6000, recall=0.2500, fbeta=0.3529
 [native-country/Guatemala]: prec=1.0000, recall=0.3333, fbeta=0.5000
 [native-country/China]: prec=0.7500, recall=0.7500, fbeta=0.7500
 [native-country/Japan]: prec=0.7778, recall=0.5833, fbeta=0.6667
 [native-country/Yugoslavia]: prec=0.5000, recall=0.1667, fbeta=0.2500
 [native-country/Peru]: prec=1.0000, recall=0.5000, fbeta=0.6667
 [native-country/Outlying-US(Guam-USVI-etc)]: prec=1.0000, recall=1.0000, fbeta=1.0000
 [native-country/Scotland]: prec=1.0000, recall=0.3333, fbeta=0.5000
 [native-country/Trinadad&Tobago]: prec=1.0000, recall=0.0000, fbeta=0.0000
 [native-country/Greece]: prec=0.6667, recall=0.5000, fbeta=0.5714
 [native-country/Nicaragua]: prec=0.0000, recall=0.0000, fbeta=1.0000
 [native-country/Vietnam]: prec=0.5000, recall=0.2000, fbeta=0.2857
 [native-country/Hong]: prec=0.7500, recall=0.5000, fbeta=0.6000
 [native-country/Ireland]: prec=1.0000, recall=0.4000, fbeta=0.5714
 [native-country/Hungary]: prec=1.0000, recall=0.3333, fbeta=0.5000
 [native-country/Holand-Netherlands]: prec=1.0000, recall=1.0000, fbeta=1.0000
